srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,attack_id,total_duration,cumulative_duration,remaining_time
175.45.176.3,22359,149.171.126.11,111,udp,INT,1.7e-05,168,0,254,0,0,0,-,39529412.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927426,1421927426,0.017,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,2,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,1.7e-05,1639.313218
175.45.176.2,63163,149.171.126.11,8080,tcp,FIN,0.290395,1314,1172,254,252,3,2,http,33196.16406,28264.95117,12,8,255,255,2838465129,3955930954,110,147,2,0,1351.861513,58.209082,1421927429,1421927429,25.254454,39.459,0.059184,0.014164,0.04502,0,1,1.0,0.0,0,2,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,0.290395,294.749023
175.45.176.3,31149,149.171.126.11,80,tcp,FIN,0.261421,840,1420,62,252,2,2,http,23135.09766,38038.26172,10,8,255,255,2108308069,1187700135,84,178,1,291,1431.872477,53.103469,1421927438,1421927438,29.046778,36.294855,0.051533,0.006686,0.044847,0,1,1.0,0.0,0,2,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,0.5518160000000001,294.48760200000004
175.45.176.0,2871,149.171.126.11,111,udp,INT,2e-05,168,0,254,0,0,0,-,33600000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927498,1421927498,0.02,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,3.7000000000000005e-05,1639.313198
175.45.176.2,32188,149.171.126.11,80,tcp,FIN,0.270259,802,1332,62,252,2,2,http,21372.0918,34515.03906,10,8,255,255,142567952,3111766122,80,167,1,265,1467.621721,51.350645,1421927502,1421927502,30.028778,36.672715,0.057171,0.012878,0.044293,0,1,1.0,0.0,0,1,1,1,1,1,1,1,DoS,1,dos_1_14917112611,1748.142005,0.270259,1747.871746
175.45.176.2,5989,149.171.126.11,111,udp,INT,1e-05,168,0,254,0,0,0,-,67200000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927520,1421927520,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,2,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,4.7000000000000004e-05,1639.313188
175.45.176.3,34032,149.171.126.11,1900,tcp,FIN,0.268598,622,268,254,252,2,1,-,16679.20117,6671.680664,10,6,255,255,3592972344,1385428528,62,45,0,0,1333.491859,68.470672,1421927542,1421927542,23.582444,48.915602,0.032841,0.024013,0.008828,0,1,0.0,0.0,0,1,2,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,0.820414,294.219004
175.45.176.0,14832,149.171.126.11,119,tcp,FIN,0.309507,4600,618,254,252,4,3,-,110420.7578,14397.08887,14,10,255,255,284727322,1097538583,329,62,0,0,1401.495281,42.404832,1421927544,1421927544,22.639154,33.528109,0.052864,0.007747,0.045117,0,1,0.0,0.0,0,2,2,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,1.129921,293.909497
175.45.176.1,1961,149.171.126.11,80,tcp,FIN,0.420918,1478,48886,62,252,2,18,http,26095.3457,905905.6875,14,40,255,255,3588137920,4132103729,106,1222,1,23260,1642.477638,1044.59607,1421927562,1421927562,32.378308,9.008128,0.117376,0.069248,0.048128,0,1,1.0,0.0,0,2,1,1,2,2,1,1,Generic,1,generic_1_14917112611,1289.235708,0.420918,1288.81479
175.45.176.0,34953,149.171.126.11,25,tcp,FIN,0.94448,74556,2244,62,252,33,8,smtp,622742.6875,18329.66211,72,28,255,255,874181926,3265791690,1036,80,0,0,1090.699953,43.744148,1421927567,1421927567,13.302535,34.570258,0.051748,0.006795,0.044953,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1,dos_1_14917112611,1748.142005,1.214739,1746.927266
