srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,attack_id
175.45.176.3,9002,149.171.126.19,111,tcp,FIN,0.629429,564,354,254,252,2,1,-,6456.645996,3940.079102,10,8,255,255,3017013647,3952958356,56,44,0,0,5437.992729,137.726844,1421927434,1421927435,69.390667,88.84243,0.05335,0.007514,0.045836,0,1,0.0,0.0,0,2,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112619
175.45.176.1,24289,149.171.126.19,25,tcp,FIN,0.787029,3422,1834,62,252,7,8,smtp,33045.79688,17717.26172,20,20,255,255,589429397,1035958391,171,92,0,0,1949.06352,45.575828,1421927439,1421927440,41.422578,40.919105,0.055716,0.008784,0.046932,0,1,0.0,0.0,0,1,2,1,1,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.0,43666,149.171.126.19,25,tcp,FIN,0.648669,2730,1212,254,252,6,6,smtp,31806.66797,14022.55957,18,16,255,255,2965819230,2287585379,152,76,0,0,1809.80764,47.374184,1421927440,1421927441,36.614588,42.447332,0.05887,0.011941,0.046929,0,1,0.0,0.0,0,1,2,1,1,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.2,29442,149.171.126.19,111,udp,INT,1.7e-05,168,0,254,0,0,0,-,39529412.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927445,1421927445,0.017,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112619
175.45.176.3,53973,149.171.126.19,46823,tcp,FIN,0.184494,1926,268,254,252,2,1,-,75189.4375,9713.052734,10,6,255,255,3383747791,24702174,193,45,0,0,1017.341869,60.25023,1421927454,1421927454,19.211778,35.265199,0.05534,0.008163,0.047177,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.2,35000,149.171.126.19,80,tcp,FIN,0.190783,1092,268,254,252,2,1,http,41219.60547,9392.871094,10,6,255,255,2783617730,1043538070,109,45,1,0,1095.271931,65.959016,1421927468,1421927469,20.585889,36.779199,0.053961,0.00688,0.047081,0,1,1.0,0.0,0,1,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112619
175.45.176.2,40291,149.171.126.19,143,tcp,FIN,0.668831,1008,12548,62,252,6,10,-,11387.03223,143845.0156,18,24,255,255,1863885858,41339344,56,523,0,0,1957.079172,1683.832139,1421927481,1421927482,39.343,28.666219,0.053106,0.005869,0.047237,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.2,40291,149.171.126.19,143,tcp,FIN,0.668831,1008,12548,62,252,6,10,-,11387.03223,143845.0156,18,24,255,255,1863885858,41339344,56,523,0,0,1957.079172,1683.832139,1421927481,1421927482,39.343,28.666219,0.053106,0.005869,0.047237,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.2,40291,149.171.126.19,143,tcp,FIN,0.668831,1008,12548,62,252,6,10,-,11387.03223,143845.0156,18,24,255,255,1863885858,41339344,56,523,0,0,1957.079172,1683.832139,1421927481,1421927482,39.343,28.666219,0.053106,0.005869,0.047237,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.2,44133,149.171.126.19,111,udp,INT,1.1e-05,168,0,254,0,0,0,-,61090908.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927483,1421927483,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,2,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112619
